치킨
맥딜리버리
롯데리아
버거킹
육개장
삼계탕
곰탕
피자
족발
보쌈
탕수육
짜장면
짬뽕
볶음밥
파스타
우동
소바
참치회
회덮밥
컵라면
라멘
타코야키
오꼬노미야키
규카츠
초밥
밥버거
순대국밥
돼지국밥
김치찌개
된장찌개
순두부찌개
콩비지찌개
생선구이
족발
돈부리
칼국수
쌀국수
한솥
부리또
타코
이삭토스트
돌솥비빔밥
냉면
치즈김밥
그냥 굶어라
